Data,Valor
1984-11-28,2814.00
1984-11-29,2814.00
1984-11-30,2867.00
1984-12-03,2867.00
1984-12-04,2867.00
1984-12-05,2908.00
1984-12-06,2908.00
1984-12-07,2908.00
1984-12-10,2950.00
1984-12-11,2950.00
1984-12-12,2950.00
1984-12-13,2950.00
1984-12-14,2993.00
1984-12-17,2993.00
1984-12-18,2993.00
1984-12-19,2993.00
1984-12-20,3041.00
1984-12-21,3041.00
1984-12-24,3041.00
1984-12-26,3091.00
1984-12-27,3091.00
1984-12-28,3168.00
1985-01-07,3228.00
1985-01-08,3228.00
1985-01-09,3228.00
1985-01-10,3228.00
1985-01-11,3301.00
1985-01-14,3301.00
1985-01-15,3301.00
1985-01-16,3376.00
1985-01-17,3376.00
1985-01-18,3376.00
1985-01-21,3376.00
1985-01-22,3441.00
1985-01-23,3441.00
1985-01-24,3441.00
1985-01-25,3441.00
1985-01-28,3494.00
1985-01-29,3494.00
1985-01-30,3494.00
1985-01-31,3567.00
1985-02-01,3567.00
1985-02-04,3567.00
1985-02-05,3567.00
1985-02-06,3567.00
1985-02-07,3638.00
1985-02-08,3638.00
1985-02-11,3710.00
1985-02-12,3710.00
1985-02-13,3710.00
1985-02-14,3783.00
1985-02-15,3783.00
1985-02-20,3783.00
1985-02-21,3856.00
1985-02-22,3856.00
1985-02-25,3916.00
1985-02-26,3916.00
1985-02-27,3916.00
1985-02-28,3931.00
1985-03-01,3931.00
1985-03-04,3931.00
1985-03-05,3997.00
1985-03-06,3997.00
1985-03-07,3997.00
1985-03-08,3997.00
1985-03-11,4068.00
1985-03-12,4068.00
1985-03-13,4068.00
1985-03-14,4140.00
1985-03-15,4140.00
1985-03-18,4140.00
1985-03-19,4140.00
1985-03-20,4180.00
1985-03-21,4180.00
1985-03-22,4230.00
1985-03-25,4270.00
1985-03-26,4310.00
1985-03-27,4350.00
1985-03-28,4380.00
1985-03-29,4430.00
1985-04-01,4450.00
1985-04-02,4480.00
1985-04-03,4510.00
1985-04-08,4540.00
1985-04-09,4560.00
1985-04-10,4580.00
1985-04-11,4610.00
1985-04-12,4630.00
1985-04-15,4660.00
1985-04-16,4690.00
1985-04-17,4710.00
1985-04-18,4740.00
1985-04-19,4770.00
1985-04-22,4790.00
1985-04-23,4820.00
1985-04-24,4850.00
1985-04-25,4870.00
1985-04-26,4900.00
1985-04-29,4930.00
1985-04-30,4960.00
1985-05-02,4980.00
1985-05-03,5000.00
1985-05-06,5030.00
1985-05-07,5050.00
1985-05-08,5070.00
1985-05-09,5090.00
1985-05-10,5110.00
1985-05-13,5140.00
1985-05-14,5160.00
1985-05-15,5180.00
1985-05-16,5200.00
1985-05-17,5220.00
1985-05-20,5250.00
1985-05-21,5270.00
1985-05-22,5290.00
1985-05-23,5320.00
1985-05-24,5340.00
1985-05-27,5370.00
1985-05-28,5390.00
1985-05-29,5410.00
1985-05-30,5430.00
1985-05-31,5460.00
1985-06-03,5490.00
1985-06-04,5510.00
1985-06-05,5540.00
1985-06-06,5560.00
1985-06-07,5560.00
1985-06-10,5590.00
1985-06-11,5610.00
1985-06-12,5640.00
1985-06-13,5670.00
1985-06-14,5690.00
1985-06-17,5720.00
1985-06-18,5750.00
1985-06-19,5770.00
1985-06-20,5800.00
1985-06-21,5830.00
1985-06-24,5860.00
1985-06-25,5880.00
1985-06-26,5910.00
1985-06-27,5940.00
1985-06-28,5960.00
1985-07-01,5980.00
1985-07-02,6000.00
1985-07-03,6020.00
1985-07-04,6040.00
1985-07-05,6060.00
1985-07-08,6080.00
1985-07-09,6100.00
1985-07-10,6120.00
1985-07-11,6140.00
1985-07-12,6160.00
1985-07-15,6180.00
1985-07-16,6200.00
1985-07-17,6220.00
1985-07-18,6240.00
1985-07-19,6260.00
1985-07-22,6280.00
1985-07-23,6300.00
1985-07-24,6320.00
1985-07-25,6340.00
1985-07-26,6360.00
1985-07-29,6380.00
1985-07-30,6400.00
1985-07-31,6420.00
1985-08-01,6440.00
1985-08-02,6460.00
1985-08-05,6490.00
1985-08-06,6510.00
1985-08-07,6540.00
1985-08-08,6560.00
1985-08-09,6580.00
1985-08-12,6610.00
1985-08-13,6630.00
1985-08-14,6650.00
1985-08-15,6680.00
1985-08-16,6700.00
1985-08-19,6730.00
1985-08-20,6750.00
1985-08-21,6770.00
1985-08-22,6800.00
1985-08-23,6820.00
1985-08-26,6850.00
1985-08-27,6870.00
1985-08-28,6900.00
1985-08-29,6920.00
1985-08-30,6950.00
1985-09-02,6995.00
1985-09-03,7040.00
1985-09-04,7090.00
1985-09-05,7135.00
1985-09-06,7180.00
1985-09-09,7230.00
1985-09-10,7275.00
1985-09-11,7325.00
1985-09-12,7370.00
1985-09-13,7420.00
1985-09-16,7455.00
1985-09-17,7490.00
1985-09-18,7520.00
1985-09-19,7555.00
1985-09-20,7590.00
1985-09-23,7625.00
1985-09-24,7660.00
1985-09-25,7690.00
1985-09-26,7725.00
1985-09-27,7760.00
1985-09-30,7785.00
1985-10-01,7815.00
1985-10-02,7840.00
1985-10-03,7870.00
1985-10-04,7900.00
1985-10-07,7925.00
1985-10-08,7955.00
1985-10-09,7980.00
1985-10-10,8010.00
1985-10-11,8040.00
1985-10-14,8065.00
1985-10-15,8095.00
1985-10-16,8130.00
1985-10-17,8165.00
1985-10-18,8200.00
1985-10-21,8235.00
1985-10-22,8270.00
1985-10-23,8305.00
1985-10-24,8340.00
1985-10-25,8375.00
1985-10-28,8410.00
1985-10-29,8445.00
1985-10-30,8480.00
1985-10-31,8515.00
1985-11-01,8550.00
1985-11-04,8580.00
1985-11-05,8610.00
1985-11-06,8640.00
1985-11-07,8670.00
1985-11-08,8700.00
1985-11-11,8730.00
1985-11-12,8760.00
1985-11-13,8795.00
