Data,Valor
1998-12-31,1.42
1999-01-04,1.44
1999-01-05,1.43
1999-01-06,1.41
1999-01-07,1.42
1999-01-08,1.41
1999-01-11,1.39
1999-01-12,1.40
1999-01-13,1.54
1999-01-14,1.54
1999-01-15,1.70
1999-01-18,1.79
1999-01-19,1.81
1999-01-20,1.82
1999-01-21,1.93
1999-01-22,1.98
1999-01-25,2.04
1999-01-26,2.17
1999-01-27,2.16
1999-01-28,2.20
1999-01-29,2.26
1999-02-01,2.22
1999-02-02,2.04
1999-02-03,2.01
1999-02-04,2.06
1999-02-05,2.07
1999-02-08,2.11
1999-02-09,2.19
1999-02-10,2.15
1999-02-11,2.12
1999-02-12,2.15
1999-02-17,2.16
1999-02-18,2.13
1999-02-19,2.13
1999-02-22,2.14
1999-02-23,2.22
1999-02-24,2.21
1999-02-25,2.25
1999-02-26,2.28
1999-03-01,2.23
1999-03-02,2.33
1999-03-03,2.36
1999-03-04,2.28
1999-03-05,2.16
1999-03-08,2.15
1999-03-09,2.08
1999-03-10,2.04
1999-03-11,2.07
1999-03-12,2.08
1999-03-15,2.06
1999-03-16,2.04
1999-03-17,2.07
1999-03-18,2.04
1999-03-19,2.02
1999-03-22,2.03
1999-03-23,2.02
1999-03-24,2.01
1999-03-25,1.97
1999-03-26,1.91
1999-03-29,1.90
1999-03-30,1.86
1999-03-31,1.86
1999-04-05,1.85
1999-04-06,1.88
1999-04-07,1.87
1999-04-08,1.85
1999-04-09,1.85
1999-04-12,1.85
1999-04-13,1.81
1999-04-14,1.79
1999-04-15,1.79
1999-04-16,1.79
1999-04-19,1.79
1999-04-20,1.82
1999-04-22,1.81
1999-04-23,1.79
1999-04-26,1.80
1999-04-27,1.82
1999-04-28,1.81
1999-04-29,1.77
1999-04-30,1.76
1999-05-03,1.77
1999-05-04,1.78
1999-05-05,1.82
1999-05-06,1.81
1999-05-07,1.80
1999-05-10,1.78
1999-05-11,1.77
1999-05-12,1.77
1999-05-13,1.76
1999-05-14,1.77
1999-05-17,1.78
1999-05-18,1.78
1999-05-19,1.78
1999-05-20,1.79
